destination_name,origin_name,2019,2020,2021,2022
DE,KZ,1023.0,372.0,280.0,52.0
CZ,HU,1018.0,663.0,696.0,944.0
SE,CZ,1013.0,301.0,413.0,618.0
GB,LT,1007.0,1120.0,1863.0,3041.0
PT,SE,1004.0,263.0,449.0,707.0
PL,PT,1001.0,372.0,981.0,1445.0
PT,PL,996.0,376.0,987.0,1420.0
CZ,FI,993.0,242.0,225.0,627.0
EE,FI,989.0,1317.0,1488.0,2967.0
NL,RO,988.0,681.0,1557.0,2017.0
DK,PT,986.0,307.0,632.0,1202.0
FR,RS,986.0,530.0,758.0,1187.0
NL,LU,974.0,492.0,768.0,1014.0
EE,RU,973.0,338.0,262.0,55.0
AT,LU,971.0,560.0,495.0,916.0
TR,PL,970.0,801.0,922.0,1469.0
BG,GB,966.0,237.0,1789.0,3171.0
IL,UA,964.0,283.0,902.0,172.0
FI,EE,964.0,1257.0,1396.0,2864.0
ES,IL,961.0,435.0,553.0,1869.0
SE,PT,960.0,267.0,457.0,711.0
EE,EE,958.0,967.0,937.0,1291.0
LV,UA,949.0,380.0,535.0,130.0
UA,LV,949.0,338.0,525.0,128.0
RS,FR,939.0,416.0,373.0,1101.0
IT,LV,935.0,386.0,623.0,797.0
RU,EE,934.0,342.0,284.0,43.0
AT,IL,934.0,569.0,794.0,1760.0
LV,IT,931.0,347.0,573.0,944.0
ES,UA,928.0,319.0,619.0,217.0
HU,HU,912.0,1017.0,1956.0,2964.0
IT,RS,911.0,305.0,495.0,1464.0
KZ,TR,907.0,645.0,947.0,230.0
HU,SE,906.0,402.0,418.0,907.0
IS,FR,900.0,170.0,384.0,719.0
CZ,AT,896.0,607.0,1015.0,1857.0
DK,IE,889.0,302.0,392.0,898.0
SK,SK,888.0,2027.0,3043.0,3194.0
IE,DK,882.0,306.0,376.0,881.0
RO,RO,879.0,1622.0,1312.0,5107.0
LT,LV,877.0,1154.0,1149.0,1402.0
FR,IS,876.0,180.0,316.0,698.0
FI,HU,870.0,214.0,252.0,551.0
FI,CZ,869.0,223.0,241.0,623.0
AT,CZ,867.0,592.0,1001.0,1858.0
HU,CZ,862.0,567.0,603.0,857.0
RS,IT,859.0,270.0,303.0,1440.0
LV,NL,855.0,502.0,612.0,719.0
CH,NO,847.0,324.0,300.0,1087.0
NL,LV,843.0,489.0,619.0,630.0
NO,AT,840.0,368.0,369.0,645.0
HR,CH,833.0,548.0,629.0,767.0
AT,IE,830.0,317.0,275.0,676.0
GR,HU,822.0,324.0,406.0,718.0
FI,GR,818.0,55.0,261.0,945.0
UA,ES,815.0,359.0,606.0,212.0
TR,CY,815.0,823.0,2815.0,5475.0
TR,RS,813.0,744.0,1144.0,1635.0
DK,HU,808.0,231.0,409.0,814.0
IE,AT,808.0,309.0,276.0,683.0
IE,HU,805.0,330.0,363.0,597.0
HR,FR,802.0,432.0,665.0,958.0
UA,TR,793.0,2544.0,2611.0,353.0
