REPORTER_LAB,PARTNER_LAB,PRODUCT,PRODUCT_LAB,FLOW_LAB,STAT_PROCEDURE_LAB,PERIOD_LAB,INDICATORS_LAB,INDICATOR_VALUE
"Austria","Russian Federation (Russia)",29,"ORGANIC CHEMICALS","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",18765433
"Austria","Russian Federation (Russia)",30,"PHARMACEUTICAL PRODUCTS","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",7299975
"Austria","Russian Federation (Russia)",30,"PHARMACEUTICAL PRODUCTS","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",1133121
"Austria","Russian Federation (Russia)",31,"FERTILISERS","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",10
"Austria","Russian Federation (Russia)",32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",503
"Austria","Russian Federation (Russia)",32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",20766
"Austria","Russian Federation (Russia)",33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",688103
"Austria","Russian Federation (Russia)",33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",3085899
"Austria","Russian Federation (Russia)",34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELLING PASTES, ‘DENTAL WAXES’ AND DENTAL PREPARATIONS WITH A BASIS OF PLASTER","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",24195
"Austria","Russian Federation (Russia)",34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELLING PASTES, ‘DENTAL WAXES’ AND DENTAL PREPARATIONS WITH A BASIS OF PLASTER","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",37492
"Austria","Russian Federation (Russia)",35,"ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",37080
"Austria","Russian Federation (Russia)",37,"PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",671
"Austria","Russian Federation (Russia)",38,"MISCELLANEOUS CHEMICAL PRODUCTS","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",1406
"Austria","Russian Federation (Russia)",38,"MISCELLANEOUS CHEMICAL PRODUCTS","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",748934
"Austria","Russian Federation (Russia)",10,"CEREALS","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",407996
"Austria","Russian Federation (Russia)",10,"CEREALS","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",387979
"Austria","Russian Federation (Russia)",12,"OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",1170221
"Austria","Russian Federation (Russia)",12,"OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",1047007
"Austria","Russian Federation (Russia)",25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",205764
