admin3,event_type,year,fatalities
Illinivska,Battles,2023,2
Illinivska,Battles,2024,200
Illinivska,Explosions/Remote violence,2020,0
Illinivska,Explosions/Remote violence,2022,2
Illinivska,Explosions/Remote violence,2023,10
Illinivska,Explosions/Remote violence,2024,87
Ilovaiska,Explosions/Remote violence,2022,0
Ilovaiska,Explosions/Remote violence,2023,0
Inhulska,Battles,2022,0
Inhulska,Explosions/Remote violence,2022,0
Inhulska,Explosions/Remote violence,2023,0
Irpinska,Battles,2022,70
Irpinska,Explosions/Remote violence,2022,14
Irpinska,Explosions/Remote violence,2024,0
Ivanivska,Battles,2022,0
Ivanivska,Explosions/Remote violence,2022,15
Ivanivska,Explosions/Remote violence,2023,5
Ivanivska,Explosions/Remote violence,2024,8
Ivankivska,Battles,2022,0
Ivankivska,Explosions/Remote violence,2022,3
Ivankivska,Explosions/Remote violence,2023,1
Ivano-Frankivska,Explosions/Remote violence,2022,0
Ivano-Frankivska,Explosions/Remote violence,2023,0
Ivano-Frankivska,Explosions/Remote violence,2024,0
Iziumska,Battles,2022,59
Iziumska,Battles,2023,2
Iziumska,Explosions/Remote violence,2022,186
Iziumska,Explosions/Remote violence,2023,2
Iziumska,Explosions/Remote violence,2024,2
Izmailska,Explosions/Remote violence,2022,0
Izmailska,Explosions/Remote violence,2023,2
Izmailska,Explosions/Remote violence,2024,13
Izumrudnivska,Explosions/Remote violence,2023,0
Izumrudnivska,Explosions/Remote violence,2024,0
Kadiivska,Battles,2020,0
Kadiivska,Battles,2021,4
Kadiivska,Battles,2022,51
Kadiivska,Battles,2023,1
Kadiivska,Battles,2024,2
Kadiivska,Explosions/Remote violence,2020,7
Kadiivska,Explosions/Remote violence,2021,2
Kadiivska,Explosions/Remote violence,2022,301
Kadiivska,Explosions/Remote violence,2023,6
Kadiivska,Explosions/Remote violence,2024,8
Kaharlytska,Explosions/Remote violence,2022,0
Kakhovska,Battles,2022,0
Kakhovska,Explosions/Remote violence,2022,183
Kakhovska,Explosions/Remote violence,2023,46
Kakhovska,Explosions/Remote violence,2024,1
Kalanchatska,Explosions/Remote violence,2022,0
Kalanchatska,Explosions/Remote violence,2023,0
Kalchytska,Explosions/Remote violence,2020,0
Kalchytska,Explosions/Remote violence,2022,3
Kalchytska,Explosions/Remote violence,2024,0
Kalmiuska,Battles,2021,0
Kalmiuska,Battles,2022,0
Kalmiuska,Battles,2024,0
Kalmiuska,Explosions/Remote violence,2021,0
Kalmiuska,Explosions/Remote violence,2022,0
Kalmiuska,Explosions/Remote violence,2023,27
Kalmiuska,Explosions/Remote violence,2024,0
Kaluska,Explosions/Remote violence,2023,0
Kalynivska,Battles,2022,141
Kalynivska,Explosions/Remote violence,2022,85
Kalynivska,Explosions/Remote violence,2023,0
Kalynivska,Explosions/Remote violence,2024,0
Kalytianska,Battles,2022,3
Kalytianska,Explosions/Remote violence,2022,0
Kalytianska,Explosions/Remote violence,2024,1
Kamianets-Podilska,Explosions/Remote violence,2023,0
Kamianka-Buzka,Explosions/Remote violence,2022,0
Kamianska,Battles,2022,0
Kamianska,Explosions/Remote violence,2022,0
Kamianska,Explosions/Remote violence,2023,0
Kamianska,Explosions/Remote violence,2024,1
Kamiansko-Dniprovska,Battles,2022,0
Kamiansko-Dniprovska,Explosions/Remote violence,2022,10
Kamiansko-Dniprovska,Explosions/Remote violence,2023,0
Kamiansko-Dniprovska,Explosions/Remote violence,2024,6
Kanivska,Explosions/Remote violence,2022,0
Kanivska,Explosions/Remote violence,2024,0
Karlivska,Explosions/Remote violence,2022,0
Karolino-Buhazka,Explosions/Remote violence,2022,4
Karolino-Buhazka,Explosions/Remote violence,2023,0
Karolino-Buhazka,Explosions/Remote violence,2024,0
Karpivska,Explosions/Remote violence,2022,10
Karpivska,Explosions/Remote violence,2023,0
Katerynopilska,Explosions/Remote violence,2024,0
Kazankivska,Battles,2022,0
Kazankivska,Explosions/Remote violence,2022,0
Kazankivska,Explosions/Remote violence,2024,0
Kehychivska,Explosions/Remote violence,2024,0
Kerchenska,Explosions/Remote violence,2022,4
Kerchenska,Explosions/Remote violence,2023,0
Kerchenska,Explosions/Remote violence,2024,0
Keretskivska,Explosions/Remote violence,2023,2
Ketrysanivska,Explosions/Remote violence,2022,0
Kharkivska,Battles,2022,168
Kharkivska,Battles,2024,178
Kharkivska,Explosions/Remote violence,2021,0
Kharkivska,Explosions/Remote violence,2022,1001
Kharkivska,Explosions/Remote violence,2023,11
Kharkivska,Explosions/Remote violence,2024,128
Khartsyzka,Explosions/Remote violence,2022,0
Khartsyzka,Explosions/Remote violence,2023,0
Khartsyzka,Explosions/Remote violence,2024,0
Khersonska,Battles,2022,6549
Khersonska,Battles,2023,9642
Khersonska,Battles,2024,21965
Khersonska,Explosions/Remote violence,2022,949
Khersonska,Explosions/Remote violence,2023,701
Khersonska,Explosions/Remote violence,2024,929
Khlibodarivska,Battles,2022,50
Khlibodarivska,Battles,2023,0
Khlibodarivska,Battles,2024,10
Khlibodarivska,Explosions/Remote violence,2021,1
Khlibodarivska,Explosions/Remote violence,2022,4
Khlibodarivska,Explosions/Remote violence,2023,3
Khlibodarivska,Explosions/Remote violence,2024,1
Khmelnytska,Battles,2024,0
Khmelnytska,Explosions/Remote violence,2022,1
Khmelnytska,Explosions/Remote violence,2023,2
Khmelnytska,Explosions/Remote violence,2024,5
Khodorivska,Explosions/Remote violence,2024,0
Kholmynska,Explosions/Remote violence,2024,0
Khotinska,Battles,2024,2
Khotinska,Explosions/Remote violence,2022,0
Khotinska,Explosions/Remote violence,2023,1
Khotinska,Explosions/Remote violence,2024,215
Khotynska,Explosions/Remote violence,2023,0
