REPORTER_LAB,PARTNER_LAB,PRODUCT_LAB,FLOW_LAB,STAT_PROCEDURE_LAB,PERIOD_LAB,INDICATORS_LAB,INDICATOR_VALUE
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",8507024
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",3221702
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",3710149
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",2415232
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","FERTILISERS","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",428
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",171970
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",1644600
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","ORGANIC CHEMICALS","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",2383123
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","ORGANIC CHEMICALS","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",53364
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","CEREALS","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",97921231
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","CEREALS","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",155388259
